ID;Artikel;Artikelbezeichnung;Materialgewicht;Menge;FachName;FACH_BARCODE;Ort;Bauteil;Block;Zeile;Ebene;FachBem;SortFeld;Stationstyp;Preisdivisor;PreisProMenge;WEBelegNr;Stueckgewicht
701381938;01010003;Blechtafel o.f.Verw.;1177,5;60;L9000.13.02.05;520394;Legnica;Verschieberegal;13;2;5;;;REGALFACH;1;0;;0
701409355;01020003;BLECHTAFEL O.F.VERW.(0.88 MM );1588,84;70;L9000.12.02.04;520358;Legnica;Verschieberegal;12;2;4;;;REGALFACH;1;0;;0
701414429;01030033;BLECHTAFEL O.F.VERW. (1.00 MM);2009,6;128;L9000.13.02.08;520406;Legnica;Verschieberegal;13;2;8;;;REGALFACH;1;0;;0
701384757;01030033;BLECHTAFEL O.F.VERW. (1.00 MM);2009,6;20;L9000.14.02.04;520422;Legnica;Verschieberegal;14;2;4;;;REGALFACH;1;0;;0
701406534;01330003;BLECHTAFEL O.F.VERWENDUNG 0,88;1975,688;22;L9000.06.09.05;520738;Legnica;Verschieberegal;6;9;5;;;REGALFACH;1;0;;0
701330837;01410024;BLECHTAFEL VERZ. (0.75 MM);1071,64;55;L9000.22.01.01;520665;Legnica;Verschieberegal;22;1;1;;;REGALFACH;1;0;;0
701229999;01670025;TAFELBLECH ELO.VERZ. 1.00MM;1550,4;16;L9000.13.03.05;520395;Legnica;Verschieberegal;13;3;5;;;REGALFACH;1;0;;0
701335351;01670026;TAFELBLECH ELO.VERZ. 1.00MM;1079,35;4;L9000.09.09.05;520741;Legnica;Verschieberegal;9;9;5;;;REGALFACH;1;0;;0
701373719;01670026;TAFELBLECH ELO.VERZ. 1.00MM;1079,35;20;L9000.22.01.07;520683;Legnica;Verschieberegal;22;1;7;;;REGALFACH;1;0;;0
701331227;01670026;TAFELBLECH ELO.VERZ. 1.00MM;1079,35;50;L9000.08.09.03;520718;Legnica;Verschieberegal;8;9;3;;;REGALFACH;1;0;;0
701413013;01680004E;BLECHTAFEL VERZ.;1394,723;80;L9000.18.03.04;520551;Legnica;Verschieberegal;18;4;3;;;REGALFACH;1;0;;0
701420133;01680005;Blechtafel f. Stanze o. Verw.;1987,324;158;L9000.7.3.7;520211;Legnica;Verschieberegal;7;3;7;;;REGALFACH;1;0;;0
701337465;01680005E;BLECHTAFEL VERZ.;1291;15;L9000.03.09.03;520713;Legnica;Verschieberegal;3;9;3;;;REGALFACH;1;0;;0
701384602;01680005E;BLECHTAFEL VERZ.;1329,73;39;L9000.22.01.03;520671;Legnica;Verschieberegal;22;1;3;;;REGALFACH;1;0;;0
701413015;01700044;Blechtafel f. Stanze o. Verw.;1805,5;50;L9000.20.03.08;520631;Legnica;Verschieberegal;20;3;8;;;REGALFACH;1;0;;0
701400024;01710024;TAFELBLECH VERZ. O.VERW.;1177,5;75;L9000.11.02.08;520342;Legnica;Verschieberegal;11;2;8;;;REGALFACH;1;0;;0
701373721;01710024;TAFELBLECH VERZ. O.VERW.;1570;7;L9000.22.03.03;520673;Legnica;Verschieberegal;22;3;3;;;REGALFACH;1;0;;0
701400025;01710024;TAFELBLECH VERZ. O.VERW.;1177,5;55;L9000.19.03.04;520583;Legnica;Verschieberegal;19;3;4;;;REGALFACH;1;0;;0
701419653;01710026;TAFELBLECH VERZ. O.VERW.;808,18;34;L9000.22.02.03;520672;Legnica;Verschieberegal;22;2;3;;;REGALFACH;1;0;;0
701394513;01770023;Blechtafel,verz. (0.88 mm);1243,44;55;L9000.11.03.05;520331;Legnica;Verschieberegal;11;3;5;;;REGALFACH;1;0;;0
701413059;01770024;Blechtafel,verz. (0.75 mm);1519,76;110;L9000.03.09.06;520746;Legnica;Verschieberegal;3;9;6;;;REGALFACH;1;0;;0
701383757;100200;Rückwand 1040/1050;873,44;88;L9000.19.02.02;520574;Legnica;Verschieberegal;19;2;2;;;REGALFACH;1;0;;0
701419517;100400;Rumpfteil re.u.li.;2011,464;34;L9000.22.03.02;520670;Legnica;Verschieberegal;22;3;2;;;REGALFACH;1;0;;0
701402060;102450-11;RUMPFT. RE. GESTANZT 8170-8670;582,8;35;L9000.1.2.4;520011;Legnica;Verschieberegal;1;2;4;;;REGALFACH;1;0;;0
701363565;102470-111;RÜCKWAND BEARBEITET;94,338;9;L9000.10.03.03;520291;Legnica;Verschieberegal;10;3;3;;;REGALFACH;1;0;;0
701418904;102490-11;EINLEGEBODEN RECHTS GESTANZT;232;200;L9000.16.01.03;520481;Legnica;Verschieberegal;16;1;3;;;REGALFACH;1;0;;0
701411470;102560-11;KOPFTEIL gestanzt;189,24;49;L9000.21.04.03;520644;Legnica;Verschieberegal;21;4;3;;;REGALFACH;1;0;;0
701420040;102570-11;RÜCKWAND gestanzt;340;50;L9000.16.02.03;520482;Legnica;Verschieberegal;16;2;3;;;REGALFACH;1;0;;0
701420694;102630-11;SOCKEL -201 gestanzt;210,88;160;L9000.13.01.01;520377;Legnica;Verschieberegal;13;1;1;;;REGALFACH;1;0;;0
701414909;102640-2;Sockelverstärkung gestanzt;97,121;197;L9000.10.09.02;520709;Legnica;Verschieberegal;10;9;2;;;REGALFACH;1;0;;0
701418038;102642-2;Sockelverstärkung gestanzt;138,04;280;L9000.13.01.01;520377;Legnica;Verschieberegal;13;1;1;;;REGALFACH;1;0;;0
701417867;102660-111;RÜCKWAND BEARBEITET;535,092;33;L9000.22.01.02;520668;Legnica;Verschieberegal;22;1;2;;;REGALFACH;1;0;;0
701419342;102710-111;RÜCKWAND BEARBEITET;377,712;17;L9000.22.01.01;520665;Legnica;Verschieberegal;22;1;1;;;REGALFACH;1;0;;0
701406884;104300-11;TÜR RE 300 MM LS,ER ODER GLATT;92,75;25;L9000.15.02.02;520446;Legnica;Verschieberegal;15;2;2;;;REGALFACH;1;0;;0
701413633;104300-11;TÜR RE 300 MM LS,ER ODER GLATT;842,17;227;L9000.5.3.3;520131;Legnica;Verschieberegal;5;3;3;;;REGALFACH;1;0;;0
701407411;104300-11;TÜR RE 300 MM LS,ER ODER GLATT;356,16;96;L9000.6.1.7;520177;Legnica;Verschieberegal;6;1;7;;;REGALFACH;1;0;;0
701408481;104300-11;TÜR RE 300 MM LS,ER ODER GLATT;500,85;135;L9000.20.04.08;520632;Legnica;Verschieberegal;20;4;8;;;REGALFACH;1;0;;0
701418898;104300-11E;TÜR RE. BEARB.  - VERZINKT -;475,365;129;L9000.7.3.3;520195;Legnica;Verschieberegal;7;3;3;;;REGALFACH;1;0;;0
701362708;104300-11E;TÜR RE. BEARB.  - VERZINKT -;663,3;119;L9000.5.3.3;520131;Legnica;Verschieberegal;5;3;3;;;REGALFACH;1;0;;0
701351867;104301;Tür re. 8010;1948,37;77;L9000.5.4.6;520144;Legnica;Verschieberegal;5;4;6;;;REGALFACH;1;0;;0
701351868;104301;Tür re. 8010;1936,909;110;L9000.1.3.5;520015;Legnica;Verschieberegal;1;3;5;;;REGALFACH;1;0;;0
701409205;106000-11;Fußteil 1070 gestanzt;906,3;80;L9000.18.02.03;520546;Legnica;Verschieberegal;18;2;3;;;REGALFACH;1;0;;0
701401630;107440-111;Pendelblech DIN A4 hoch bearb.;150,88;205;L9000.12.01.01;520345;Legnica;Verschieberegal;12;1;1;;;REGALFACH;1;0;;0
701413694;107800-2;Seitenwand gest.;568,65;170;L9000.16.01.03;520481;Legnica;Verschieberegal;16;1;3;;;REGALFACH;1;0;;0
701302183;108610;TRES-OBER/UNTERTEIL 1040;914,992;72;L9000.21.01.08;520661;Legnica;Verschieberegal;21;1;8;;;REGALFACH;1;0;;0
701417617;108650;TRESORTEILE;212,58;8;L9000.20.03.04;520615;Legnica;Verschieberegal;20;3;4;;;REGALFACH;1;0;;0
701396592;108841;EINLEGERVERSTÄRKUNG (L);589,12;170;L9000.7.4.2;520192;Legnica;Verschieberegal;7;4;2;;;REGALFACH;1;0;;0
701419027;108900-11;GEFACH 4 GESTANZT;80,96;40;L9000.7.4.3;520196;Legnica;Verschieberegal;7;4;3;;;REGALFACH;1;0;;0
701406039;109370HE;STÜTZE AUFSTECKR. laser;62,5;500;L9000.01.09.02;520700;Legnica;Verschieberegal;1;9;2;;;REGALFACH;1;0;;0
701229993;11000001E;RÜCKWAND VERZINKT;387,2;55;L9000.4.4.2;520096;Legnica;Verschieberegal;4;4;2;;;REGALFACH;1;0;;0
701385519;110001-3;Ruckwand -12 Wandahängend;77,44;20;L9000.13.02.01;520378;Legnica;Verschieberegal;13;2;1;;;REGALFACH;1;0;;0
701408437;11010001E;RÜCKWAND VERZINKT;1154,076;154;L9000.7.3.5;520203;Legnica;Verschieberegal;7;3;5;;;REGALFACH;1;0;;0
701349663;110103-3;Ruckwand -22, 2xLR pro Abt.;74,94;8;L9000.11.09.06;520754;Legnica;Verschieberegal;11;9;6;;;REGALFACH;1;0;;0
701353496;110103-3;Ruckwand -22, 2xLR pro Abt.;149,88;6;L9000.12.03.06;520367;Legnica;Verschieberegal;12;3;6;;;REGALFACH;1;0;;0
701351004;110103-3E;Ruckwand -22, 2xLR pro Abt.ELO;149,88;11;L9000.1.2.2;520005;Legnica;Verschieberegal;1;2;2;;;REGALFACH;1;0;;0
701268223;110104-3;RW 8320-22, 2xLR pro Abt.gest;179,856;17;L9000.17.03.05;520523;Legnica;Verschieberegal;17;3;5;;;REGALFACH;1;0;;0
701417976;110200-3E;RÜCKWAND -32 2XLR/ABT. BEARB.;238,2;20;L9000.15.03.04;520455;Legnica;Verschieberegal;15;3;4;;;REGALFACH;1;0;;0
701392611;110201-3;Ruckwand -32 Wandahängend;131,01;11;L9000.7.3.2;520191;Legnica;Verschieberegal;7;3;2;;;REGALFACH;1;0;;0
701396541;110201-3;Ruckwand -32 Wandahängend;47,64;4;L9000.06.09.06;520749;Legnica;Verschieberegal;6;9;6;;;REGALFACH;1;0;;0
701378254;110205-3;RW -32 Wandbefest.4 x Ovalloch;166,74;4;L9000.09.09.06;520752;Legnica;Verschieberegal;9;9;6;;;REGALFACH;1;0;;0
701386884;110461;TÜRINNENSCHALE 8570 01;960;350;L9000.3.4.1;520060;Legnica;Verschieberegal;3;4;1;;;STELLPLATZ;1;0;;0
701106231;110481;TÜRINNENSCHALE 8470 01;602,572;475;L9000.5.4.2;520128;Legnica;Verschieberegal;5;4;2;;;REGALFACH;1;0;;0
701391922;110510;TÜRAUSSENSCHALE 8070;398,466;846;L9000.20.02.03;520610;Legnica;Verschieberegal;20;2;3;;;REGALFACH;1;0;;0
701391923;110510;TÜRAUSSENSCHALE 8070;397,995;845;L9000.20.02.03;520610;Legnica;Verschieberegal;20;2;3;;;REGALFACH;1;0;;0
701417046;110510;TÜRAUSSENSCHALE 8070;786,57;1670;L9000.11.02.02;520318;Legnica;Verschieberegal;11;2;2;;;REGALFACH;1;0;;0
701417047;110510;TÜRAUSSENSCHALE 8070;786,57;1670;L9000.7.3.1;520187;Legnica;Verschieberegal;7;3;1;;;STELLPLATZ;1;0;;0
701417045;110510;TÜRAUSSENSCHALE 8070;786,57;1670;L9000.8.2.2;520222;Legnica;Verschieberegal;8;2;2;;;REGALFACH;1;0;;0
701402076;110511;TÜRINNENSCHALE 8070 01;975;2500;L9000.12.01.03;520353;Legnica;Verschieberegal;12;1;3;;;REGALFACH;1;0;;0
701413017;110511;TÜRINNENSCHALE 8070 01;975;2500;L9000.5.1.2;520125;Legnica;Verschieberegal;5;1;2;;;REGALFACH;1;0;;0
701413018;110511;TÜRINNENSCHALE 8070 01;975;2500;L9000.5.1.2;520125;Legnica;Verschieberegal;5;1;2;;;REGALFACH;1;0;;0
701337485;110520;TÜRAUSSENSCHALE 8270;762,4;800;L9000.10.09.03;520720;Legnica;Verschieberegal;10;9;3;;;REGALFACH;1;0;;0
701337636;110520;TÜRAUSSENSCHALE 8270;762,4;800;L9000.21.03.02;520639;Legnica;Verschieberegal;21;3;2;;;REGALFACH;1;0;;0
